market,player,position,team,opponent,projection,recent_avg3,recent_avg5,volume_avg3,opponent_allowed_avg5,recent_sd,risk,confidence,history_games
passing_yards,Tyler Shough,QB,NO,DET,255.7,300.0,263.2,37.0,254.6,72.8,MEDIUM,Medium,11
passing_yards,Matthew Stafford,QB,LA,SF,251.6,328.3,326.8,42.3,224.8,84.7,HIGH,Low,17
passing_yards,Jared Goff,QB,DET,NO,247.2,297.3,307.8,41.7,180.8,65.0,MEDIUM,Medium,17
passing_yards,Jacoby Brissett,QB,ARI,LAC,238.1,219.3,235.6,33.0,218.2,27.9,LOW,High,14
passing_yards,Josh Allen,QB,BUF,HOU,229.9,195.0,191.8,27.3,223.2,65.2,MEDIUM,Medium,16
passing_yards,Drake Maye,QB,NE,SEA,229.2,275.7,252.8,27.7,184.0,87.2,MEDIUM,Medium,17
passing_yards,Justin Herbert,QB,LAC,ARI,227.7,248.7,207.2,30.0,265.2,65.7,LOW,High,16
passing_yards,Bryce Young,QB,CAR,CHI,227.1,170.3,176.0,30.3,248.6,77.9,MEDIUM,Medium,16
passing_yards,Aaron Rodgers,QB,PIT,ATL,226.1,242.7,247.2,42.3,251.4,51.7,LOW,High,16
passing_yards,Brock Purdy,QB,SF,LA,224.4,241.7,237.6,31.3,249.6,83.6,MEDIUM,Medium,9
rushing_yards,Derrick Henry,RB,BAL,IND,101.3,156.7,132.8,24.7,96.2,48.9,HIGH,Low,17
rushing_yards,Saquon Barkley,RB,PHI,WAS,81.8,92.7,91.2,20.7,125.8,33.8,MEDIUM,Medium,16
rushing_yards,De'Von Achane,RB,MIA,LV,81.7,74.7,90.0,15.0,103.6,27.2,LOW,High,16
rushing_yards,Bijan Robinson,RB,ATL,PIT,80.0,101.3,96.6,17.7,87.2,59.7,HIGH,Low,17
rushing_yards,Tony Pollard,RB,TEN,NYJ,77.4,78.3,100.0,17.7,124.8,40.8,LOW,High,17
rushing_yards,J.K. Dobbins,RB,DEN,KC,72.3,83.0,74.0,16.0,100.0,26.2,LOW,High,10
rushing_yards,Christian McCaffrey,RB,SF,LA,72.1,93.3,81.2,17.3,101.8,47.4,HIGH,Low,17
rushing_yards,Kyren Williams,RB,LA,SF,71.7,74.0,76.8,16.0,114.6,12.4,LOW,High,17
rushing_yards,Omarion Hampton,RB,LAC,ARI,70.8,58.3,55.0,15.0,155.2,20.8,LOW,High,9
rushing_yards,Tyrone Tracy Jr.,RB,NYG,DAL,69.9,78.7,68.4,16.0,101.6,24.0,LOW,High,15
receiving_yards,Puka Nacua,WR,LA,SF,89.5,116.0,139.2,12.3,189.6,74.8,HIGH,Low,16
receiving_yards,Amon-Ra St. Brown,WR,DET,NO,82.2,87.0,103.4,12.3,155.8,46.8,MEDIUM,Medium,17
receiving_yards,Michael Wilson,WR,ARI,LAC,79.9,80.0,87.2,7.0,200.6,37.0,LOW,High,17
receiving_yards,Ja'Marr Chase,WR,CIN,TB,77.4,88.3,88.2,10.0,194.6,35.9,MEDIUM,Medium,16
receiving_yards,Jaxon Smith-Njigba,WR,SEA,NE,77.3,84.0,91.4,11.0,134.6,15.2,LOW,High,17
receiving_yards,Chris Olave,WR,NO,DET,76.4,117.3,85.8,12.0,228.8,49.0,HIGH,Low,16
receiving_yards,Trey McBride,TE,ARI,LAC,72.9,56.0,72.0,9.7,200.6,39.1,MEDIUM,Medium,17
receiving_yards,Wan'Dale Robinson,WR,TEN,NYJ,68.5,62.0,75.2,10.0,220.8,57.6,MEDIUM,Medium,16
receiving_yards,Rashee Rice,WR,KC,DEN,67.7,59.0,71.2,10.3,181.6,45.3,MEDIUM,Medium,8
receiving_yards,Drake London,WR,ATL,PIT,67.6,36.3,66.4,6.0,215.4,49.4,HIGH,Low,12
