market,feature,standardized_beta
passing_yards,lag1,4.4757
passing_yards,avg3,6.652
passing_yards,avg5,-6.4965
passing_yards,avg8,27.565
passing_yards,volume_avg3,-2.1422
passing_yards,volume_avg5,-2.8653
passing_yards,opponent_allowed_avg5,10.0045
passing_yards,week_index,-4.8932
rushing_yards,lag1,5.1632
rushing_yards,avg3,5.3435
rushing_yards,avg5,-6.0948
rushing_yards,avg8,5.0855
rushing_yards,volume_avg3,-4.009
rushing_yards,volume_avg5,9.3651
rushing_yards,opponent_allowed_avg5,5.8952
rushing_yards,week_index,0.9623
receiving_yards,lag1,2.0496
receiving_yards,avg3,2.8316
receiving_yards,avg5,-13.2092
receiving_yards,avg8,18.7552
receiving_yards,volume_avg3,-0.0212
receiving_yards,volume_avg5,5.8478
receiving_yards,opponent_allowed_avg5,1.9857
receiving_yards,week_index,1.2532
