market,week,n,mae,baseline_mae
passing_yards,4,29,63.17,67.0
passing_yards,5,25,71.95,71.28
passing_yards,6,24,46.98,55.76
passing_yards,7,26,80.87,87.04
passing_yards,8,26,56.66,63.14
passing_yards,9,27,43.0,47.81
passing_yards,10,24,49.03,56.21
passing_yards,11,26,74.52,75.88
passing_yards,12,24,56.67,54.21
passing_yards,13,31,72.39,73.03
passing_yards,14,25,64.75,70.44
passing_yards,15,31,66.77,81.45
passing_yards,16,30,58.95,59.71
passing_yards,17,30,72.63,74.61
passing_yards,18,28,77.34,82.9
rushing_yards,4,37,26.87,31.58
rushing_yards,5,33,22.05,26.43
rushing_yards,6,34,27.45,29.77
rushing_yards,7,41,30.5,28.01
rushing_yards,8,45,27.55,25.45
rushing_yards,9,42,25.03,27.63
rushing_yards,10,37,27.37,35.51
rushing_yards,11,35,21.36,23.62
rushing_yards,12,30,35.92,33.91
rushing_yards,13,37,25.95,29.54
rushing_yards,14,26,24.85,25.54
rushing_yards,15,40,31.3,31.51
rushing_yards,16,35,33.16,34.85
rushing_yards,17,36,26.31,27.77
rushing_yards,18,29,26.09,22.74
receiving_yards,4,76,25.03,25.13
receiving_yards,5,74,29.05,31.59
receiving_yards,6,77,23.42,28.67
receiving_yards,7,79,28.87,32.57
receiving_yards,8,86,28.69,30.26
receiving_yards,9,82,27.98,29.68
receiving_yards,10,73,24.11,27.05
receiving_yards,11,77,29.3,34.08
receiving_yards,12,74,25.7,29.34
receiving_yards,13,96,25.7,27.6
receiving_yards,14,74,26.88,30.48
receiving_yards,15,100,27.97,29.96
receiving_yards,16,95,24.04,27.12
receiving_yards,17,91,27.24,27.22
receiving_yards,18,77,25.62,28.55
